year,ticker,N,delta,xmin,alpha,gamma (nlls),gamma (psd),phi exponent,phi exponent half width,beta,beta half width
2023,4SI,50,1.5,3.0,1.6323242187499991,0.967302866503236,1.0357102961299167,0.28612599176056236,0.14230971269843032,0.19256785529243942,0.016353148602679293
2024,4SI,50,1.5,2.0,1.2222730035165235,0.9332384044735383,0.6287101952760015,0.28612599176056236,0.14230971269843032,0.19256785529243942,0.016353148602679293
2025,4SI,50,1.5,3.0,1.6803710937499998,0.32856995162828556,0.5748362123783202,0.28612599176056236,0.14230971269843032,0.19256785529243942,0.016353148602679293
2024,4SI,50,2.0,3.0,1.7960205078124991,0.9332384044735383,0.6287101952760015,0.25190610047385414,0.2697236040954867,0.039664135238083716,0.013117480139578672
2023,4SI,100,1.5,2.0,1.272423917805062,0.967302866503236,1.0357102961299167,0.4581154092751153,0.22191898124514509,0.15881606311416094,0.013692998080033804
2024,4SI,100,1.5,2.0,1.237855218560298,0.9332384044735383,0.6287101952760015,0.4581154092751153,0.22191898124514509,0.15881606311416094,0.013692998080033804
2025,4SI,100,1.5,3.0,1.7317138671874996,0.32856995162828556,0.5748362123783202,0.4581154092751153,0.22191898124514509,0.15881606311416094,0.013692998080033804
2023,4SI,500,1.5,2.0,1.3547983702629742,0.967302866503236,1.0357102961299167,0.24180624651543353,0.17328661269787457,0.15856381218575624,0.021904919626955406
2024,4SI,500,1.5,4.0,1.9541503906249997,0.9332384044735383,0.6287101952760015,0.24180624651543353,0.17328661269787457,0.15856381218575624,0.021904919626955406
2025,4SI,500,1.5,2.0,1.3014949948724652,0.32856995162828556,0.5748362123783202,0.24180624651543353,0.17328661269787457,0.15856381218575624,0.021904919626955406
2024,4SI,1000,1.5,1.0,0.9014258968782409,0.9332384044735383,0.6287101952760015,0.38517170143186213,0.27546119654902484,-0.0798089086545832,0.017608840998693705
2025,4SI,1000,1.5,3.0,1.9845458984374993,0.32856995162828556,0.5748362123783202,0.38517170143186213,0.27546119654902484,-0.0798089086545832,0.017608840998693705
2024,4SI,1500,1.5,3.0,1.6739990234374993,0.9332384044735383,0.6287101952760015,0.23784539068329122,0.2539679903318845,0.07390376074638424,0.01545808082129241
2025,4SI,1500,1.5,2.0,1.4366210937499986,0.32856995162828556,0.5748362123783202,0.23784539068329122,0.2539679903318845,0.07390376074638424,0.01545808082129241
2023,ABG,50,1.5,8.0,1.8736572265625,0.5934986310410548,0.5732134267050923,0.952759783538013,0.05944591302950585,0.11655128879583787,0.002317914618969171
2024,ABG,50,1.5,11.0,1.9583827336878645,0.5670970133386046,0.4916658024911872,0.952759783538013,0.05944591302950585,0.11655128879583787,0.002317914618969171
2025,ABG,50,1.5,9.0,1.9550292968750003,0.6066196337483291,0.5692074066034145,0.952759783538013,0.05944591302950585,0.11655128879583787,0.002317914618969171
2023,ABG,50,2.0,3.0,1.7458496093749996,0.5934986310410548,0.5732134267050923,0.8485230925630438,0.05930056701355238,0.15543367761517238,0.004268437002568132
2024,ABG,50,2.0,4.0,1.9087402343750002,0.5670970133386046,0.4916658024911872,0.8485230925630438,0.05930056701355238,0.15543367761517238,0.004268437002568132
2025,ABG,50,2.0,3.0,1.7336914062499993,0.6066196337483291,0.5692074066034145,0.8485230925630438,0.05930056701355238,0.15543367761517238,0.004268437002568132
2023,ABG,50,3.0,2.0,1.5702148437499988,0.5934986310410548,0.5732134267050923,0.7597661214928657,0.05841370109895319,0.1679286964040593,0.007954461501199925
2024,ABG,50,3.0,3.0,1.9766357421874998,0.5670970133386046,0.4916658024911872,0.7597661214928657,0.05841370109895319,0.1679286964040593,0.007954461501199925
2025,ABG,50,3.0,2.0,1.5769165039062494,0.6066196337483291,0.5692074066034145,0.7597661214928657,0.05841370109895319,0.1679286964040593,0.007954461501199925
2023,ABG,50,4.0,2.0,1.6000976562499991,0.5934986310410548,0.5732134267050923,0.734953079510212,0.056711026365738215,0.17707358998629655,0.007899060916556556
2024,ABG,50,4.0,2.0,1.547216796874999,0.5670970133386046,0.4916658024911872,0.734953079510212,0.056711026365738215,0.17707358998629655,0.007899060916556556
2025,ABG,50,4.0,2.0,1.6047119140624995,0.6066196337483291,0.5692074066034145,0.734953079510212,0.056711026365738215,0.17707358998629655,0.007899060916556556
2023,ABG,50,5.0,2.0,1.6084838867187492,0.5934986310410548,0.5732134267050923,0.7359312094159894,0.058913150594741615,0.1760545973445091,0.009822317180440292
2024,ABG,50,5.0,2.0,1.5528564453124991,0.5670970133386046,0.4916658024911872,0.7359312094159894,0.058913150594741615,0.1760545973445091,0.009822317180440292
2025,ABG,50,5.0,2.0,1.6125488281249991,0.6066196337483291,0.5692074066034145,0.7359312094159894,0.058913150594741615,0.1760545973445091,0.009822317180440292
2023,ABG,100,1.5,7.0,1.9541503906249997,0.5934986310410548,0.5732134267050923,0.9225690700255123,0.06162715676864748,0.12278547821941335,0.0033997931095677406
2024,ABG,100,1.5,8.0,1.8727050781249996,0.5670970133386046,0.4916658024911872,0.9225690700255123,0.06162715676864748,0.12278547821941335,0.0033997931095677406
2025,ABG,100,1.5,7.0,1.9145996093749997,0.6066196337483291,0.5692074066034145,0.9225690700255123,0.06162715676864748,0.12278547821941335,0.0033997931095677406
2023,ABG,100,2.0,3.0,1.9816162109374993,0.5934986310410548,0.5732134267050923,0.7592029145736308,0.06318391949873835,0.1541277368385365,0.007835280036695473
2024,ABG,100,2.0,3.0,1.8902099609374998,0.5670970133386046,0.4916658024911872,0.7592029145736308,0.06318391949873835,0.1541277368385365,0.007835280036695473
2025,ABG,100,2.0,3.0,1.9835937499999994,0.6066196337483291,0.5692074066034145,0.7592029145736308,0.06318391949873835,0.1541277368385365,0.007835280036695473
2023,ABG,100,3.0,2.0,1.642651367187499,0.5934986310410548,0.5732134267050923,0.685914287745168,0.058989837429366844,0.1611419793615261,0.010643381704782524
2024,ABG,100,3.0,2.0,1.599035644531249,0.5670970133386046,0.4916658024911872,0.685914287745168,0.058989837429366844,0.1611419793615261,0.010643381704782524
2025,ABG,100,3.0,2.0,1.6535644531249991,0.6066196337483291,0.5692074066034145,0.685914287745168,0.058989837429366844,0.1611419793615261,0.010643381704782524
2023,ABG,100,4.0,2.0,1.6562011718749994,0.5934986310410548,0.5732134267050923,0.6873719705937492,0.05930769303073719,0.16443523050139602,0.01123308176550566
2024,ABG,100,4.0,2.0,1.6139404296874993,0.5670970133386046,0.4916658024911872,0.6873719705937492,0.05930769303073719,0.16443523050139602,0.01123308176550566
2025,ABG,100,4.0,2.0,1.664624023437499,0.6066196337483291,0.5692074066034145,0.6873719705937492,0.05930769303073719,0.16443523050139602,0.01123308176550566
2023,ABG,100,5.0,2.0,1.6592041015624996,0.5934986310410548,0.5732134267050923,0.6800763072987113,0.056348973590009885,0.1548532091392948,0.011602610534692769
2024,ABG,100,5.0,2.0,1.615551757812499,0.5670970133386046,0.4916658024911872,0.6800763072987113,0.056348973590009885,0.1548532091392948,0.011602610534692769
2025,ABG,100,5.0,2.0,1.669348144531249,0.6066196337483291,0.5692074066034145,0.6800763072987113,0.056348973590009885,0.1548532091392948,0.011602610534692769
2023,ABG,500,1.5,6.0,1.9276367187499996,0.5934986310410548,0.5732134267050923,0.9063234047606554,0.05877160418901243,0.13078834467621434,0.0041771876528528705
2024,ABG,500,1.5,7.0,1.87548828125,0.5670970133386046,0.4916658024911872,0.9063234047606554,0.05877160418901243,0.13078834467621434,0.0041771876528528705
2025,ABG,500,1.5,6.0,1.8996582031249996,0.6066196337483291,0.5692074066034145,0.9063234047606554,0.05877160418901243,0.13078834467621434,0.0041771876528528705
2023,ABG,500,2.0,2.0,1.5709472656249988,0.5934986310410548,0.5732134267050923,0.6845494774187297,0.06413343768782614,0.1155979276491566,0.0112846681321526
